Strain	Samples	Concentration	Source	Replicate	Experiment	Condition
RCC100	NO3_800_R1	NO3_800_R1	882	NO3	1	Ctrl	NO3_800
RCC100	NO3_800_R2	NO3_800_R2	882	NO3	2	Ctrl	NO3_800
RCC100	NO3_800_R3	NO3_800_R3	882	NO3	3	Ctrl	NO3_800
RCC100	NO3_400_R1	NO3_400_R1	441	NO3	1	N_quantity	NO3_400
RCC100	NO3_400_R2	NO3_400_R2	441	NO3	2	N_quantity	NO3_400
RCC100	NO3_400_R3	NO3_400_R3	441	NO3	3	N_quantity	NO3_400
RCC100	NO3_200_R1	NO3_200_R1	220.5	NO3	1	N_quantity	NO3_200
RCC100	NO3_200_R2	NO3_200_R2	220.5	NO3	2	N_quantity	NO3_200
RCC100	NO3_200_R3	NO3_200_R3	220.5	NO3	3	N_quantity	NO3_200
RCC100	NH4_R1	NH4_R1	882	NH4	1	N_source	NH4
RCC100	NH4_R2	NH4_R2	882	NH4	2	N_source	NH4
RCC100	NH4_R3	NH4_R3	882	NH4	3	N_source	NH4
RCC100	Urea_R1	Urea_R1	441	Urea	1	N_source	Urea
RCC100	Urea_R2	Urea_R2	441	Urea	2	N_source	Urea
RCC100	Urea_R3	Urea_R3	441	Urea	3	N_source	Urea
RCC100	Cyanate_R1	Cyanate_R1	882	Cyanate	1	N_source	Cyanate
RCC100	Cyanate_R2	Cyanate_R2	882	Cyanate	2	N_source	Cyanate
RCC100	Cyanate_R3	Cyanate_R3	882	Cyanate	3	N_source	Cyanate
RCC697	NO3_800_R1	NO3_800_R1	882	NO3	1	Ctrl	NO3_800
RCC697	NO3_800_R2	NO3_800_R2	882	NO3	2	Ctrl	NO3_800
RCC697	NO3_800_R3	NO3_800_R3	882	NO3	3	Ctrl	NO3_800
RCC697	NO3_200_R1	NO3_200_R1	220	NO3	1	N_quantity	NO3_200
RCC697	NO3_200_R2	NO3_200_R2	220	NO3	2	N_quantity	NO3_200
RCC697	NO3_200_R3	NO3_200_R3	220	NO3	3	N_quantity	NO3_200
RCC697	NO3_50_R1	NO3_50_R1	50	NO3	1	N_quantity	NO3_50
RCC697	NO3_50_R2	NO3_50_R2	50	NO3	2	N_quantity	NO3_50
RCC697	NO3_50_R3	NO3_50_R3	50	NO3	3	N_quantity	NO3_50
